id;nome;siglaPartido;siglaUf;genero
160532;ELI CORRÊA FILHO;DEM;SP;M
181316;ELIZEU DIONIZIO;PSB;MS;M
178854;ELMAR NASCIMENTO;DEM;BA;M
132504;ENIO VERRI;PT;PR;M
99654;ERIVELTON SANTANA;PATRI;BA;M
160640;EROS BIONDINI;PROS;MG;M
160649;ESPERIDIÃO AMIN;PP;SC;M
178871;EVAIR VIEIRA DE MELO;PP;ES;M
178828;EVANDRO GUSSI;PV;SP;M
178930;EVANDRO ROMAN;PSD;PR;M
178953;EXPEDITO NETTO;PSD;RO;M
178904;EZEQUIEL FONSECA;PP;MT;M
178941;EZEQUIEL TEIXEIRA;PODE;RJ;M
141428;FÁBIO FARIA;PSD;RN;M
178905;FABIO GARCIA;DEM;MT;M
178969;FÁBIO MITIDIERI;PSD;SE;M
141427;FÁBIO RAMALHO;MDB;MG;M
171623;FABIO REIS;MDB;SE;M
178877;FÁBIO SOUSA;PSDB;GO;M
160587;FÁBIO TRAD;PSD;MS;M
66828;FAUSTO PINATO;PP;SP;M
141430;FELIPE BORNIER;PROS;RJ;M
72442;FELIPE CARRERAS;PSB;PE;M
141429;FELIPE MAIA;DEM;RN;M
160666;FÉLIX MENDONÇA JÚNIOR;PDT;BA;M
141431;FERNANDO COELHO FILHO;DEM;PE;M
160676;FERNANDO TORRES;PSD;BA;M
141434;FLAVIANO MELO;MDB;AC;M
178978;FLAVINHO;PSC;SP;M
178979;FLORIANO PESARO;PSDB;SP;M
178907;FRANCISCO CHAPADINHA;PODE;PA;M
160677;FRANCISCO FLORIANO;DEM;RJ;M
129037;GABRIEL GUIMARÃES;PT;MG;M
160669;GENECIAS NORONHA;SD;CE;M
141441;GEORGE HILTON;PSC;MG;M
74374;GERALDO RESENDE;PSDB;MS;M
74383;GIACOBO;PR;PR;M
74270;GILBERTO NASCIMENTO;PSC;SP;M
160673;GIOVANI CHERINI;PR;RS;M
178996;GIOVANI FELTES;MDB;RS;M
178878;GIUSEPPE VECCI;PSDB;GO;M
74558;GIVALDO CARIMBÃO;AVANTE;AL;M
178872;GIVALDO VIEIRA;PCdoB;ES;M
152605;GLAUBER BRAGA;PSOL;RJ;M
74419;GONZAGA PATRIOTA;PSB;PE;M
178980;GOULART;PSD;SP;M
160667;GUILHERME MUSSI;PP;SP;M
178964;HEITOR SCHUCH;PSB;RS;M
178873;HELDER SALOMÃO;PT;ES;M
178909;HÉLIO LEITE;DEM;PA;M
73482;HENRIQUE FONTANA;PT;RS;M
97707;HERÁCLITO FORTES;DEM;PI;M
178981;HERCULANO PASSOS;MDB;SP;M
73772;HERMES PARCIANELLO;MDB;PR;M
160596;HEULER CRUVINEL;PP;GO;M
178884;HILDO ROCHA;MDB;MA;M
178959;HIRAN GONÇALVES;PP;RR;M
178849;HISSA ABRAHÃO;PDT;AM;M
141450;HUGO LEAL;PSD;RJ;M
160674;HUGO MOTTA;PRB;PB;M
141389;INDIO DA COSTA;PSD;RJ;M
81232;IRAJÁ ABREU;PSD;TO;M
178855;IRMÃO LAZARO;PSC;BA;M
73531;IVAN VALENTE;PSOL;SP;M
4931;IZALCI LUCAS;PSDB;DF;M
74665;JAIME MARTINS;PROS;MG;M
74847;JAIR BOLSONARO;PSL;RJ;M
131943;JARBAS VASCONCELOS;MDB;PE;M
160672;JEAN WYLLYS;PSOL;RJ;M
74273;JEFFERSON CAMPOS;PSB;SP;M
160570;JERÔNIMO GOERGEN;PP;RS;M
178842;JHC;PSB;AL;M
