"id","uri","sigla","nome","apelido","idTipoOrgao","tipoOrgao"
"537710","https://dadosabertos.camara.leg.br/api/v2/orgaos/537710","PEC44314","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 443-A, de 2014, do Sr. Subtenente Gonzaga e outros, que ""acrescenta parágrafo ao art. 42 da Constituição Federal, para assegurar às associações dos militares estaduais as mesmas garantias de representação e imunidade tributária asseguradas aos sindicatos de trabalhadores""","PEC 443/14 - ISENÇÃO PARA ASSOCIAÇÕES DE MILITARES","3","Comissão Especial"
"537713","https://dadosabertos.camara.leg.br/api/v2/orgaos/537713","PEC00115","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 01-A, de 2015, do Sr. Vanderlei Macris e outros, que ""altera o art. 198 da Constituição Federal, para dispor sobre o valor mínimo a ser aplicado anualmente pela União em ações e serviços públicos de saúde, de forma escalonada em cinco exercícios: 15%, 16%, 17%, 18% e 18,7%""","PEC 001/15 - PERCENTUAL MÍNIMO PARA A SAÚDE","3","Comissão Especial"
"537714","https://dadosabertos.camara.leg.br/api/v2/orgaos/537714","PEC01515","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 15-A, de 2015, da Sra. Raquel Muniz e outros, que ""insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias""","PEC 015/15 - TORNA PERMANENTE O FUNDEB / EDUCAÇÃO","3","Comissão Especial"
"537715","https://dadosabertos.camara.leg.br/api/v2/orgaos/537715","PL631405","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6314, de 2005, do Sr. Takayama, que ""acrescenta inciso ao art. 142 da lei nº 2.848, de 7 de dezembro de 1940, Código Penal"" (excluindo o crime de injúria e difamação quando for a opinião de professor ou ministro religioso), e apensados","PL 6314/05 - LIBERDADE DE OPINIÃO ENSINO RELIGIOSO","3","Comissão Especial"
"537725","https://dadosabertos.camara.leg.br/api/v2/orgaos/537725","PEC25008","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 250-A, de 2008, do Sr. Pedro Chaves e outros, que ""acresce artigo ao Ato das Disposições Constitucionais Transitórias"" (integra aos quadros efetivos de pessoal os empregados de empresa estatal em fase de liquidação ou processo de extinção, que se encontram agregados ao serviço público e que possuam mais de vinte anos de exercício)","PEC 250/08 - EFETIVA EMPREGADO NA EXTINÇÃO EMPRESA","3","Comissão Especial"
"537727","https://dadosabertos.camara.leg.br/api/v2/orgaos/537727","PEC00215","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 2-A, de 2015, do Sr. Hélio Leite e outros, que ""altera o art. 166 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica""","PEC 002/15 - EXECUÇÃO OBRIGATÓRIA EMENDA ORÇAMENTO","3","Comissão Especial"
"537730","https://dadosabertos.camara.leg.br/api/v2/orgaos/537730","PL396897","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 3968, de 1997, do Sr. Serafim Venzon, que ""isenta os órgãos públicos e as entidades filantrópicas do pagamento de direitos autorais pelo uso de obras musicais e lítero-musicais em eventos por eles promovidos"", e apensados","PL 3968/97 - DIREITOS AUTORAIS","3","Comissão Especial"
"537737","https://dadosabertos.camara.leg.br/api/v2/orgaos/537737","CETRIBUT","Comissão Especial para análise, estudo e formulação de proposições relacionadas à Reforma Tributária","REFORMA TRIBUTÁRIA","3","Comissão Especial"
"537741","https://dadosabertos.camara.leg.br/api/v2/orgaos/537741","PL808514","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 8085, de 2014, do Senado Federal, que ""altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para instituir a obrigatoriedade da prática de direção veicular em vias públicas para fins de formação de condutores""","PL 8085/14 - ALTERAÇÃO DO CÓDIGO DE TRÂNSITO","3","Comissão Especial"
"537742","https://dadosabertos.camara.leg.br/api/v2/orgaos/537742","CETECSAU","Comissão Especial destinada a estudar o processo de inovação e incorporação tecnológica no complexo produtivo da saúde, no Brasil e no mundo","CESP - INOVAÇÃO TECNOLÓGICA DA SAÚDE","3","Comissão Especial"
