"id","uri","sigla","nome","apelido","idTipoOrgao","tipoOrgao"
"537945","https://dadosabertos.camara.leg.br/api/v2/orgaos/537945","CEXCAMPI","Comissão Externa, com ônus para a Câmara dos Deputados, destinada a acompanhar a situação hídrica de Campina Grande/PB e dos municípios de seu entorno","CRISE HÍDRICA DE CAMPINA GRANDE","5","Comissão Externa"
"537948","https://dadosabertos.camara.leg.br/api/v2/orgaos/537948","PEC30417","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 304-A, de 2017, do Senado Federal, que ""acrescenta § 7° ao art. 225 da Constituição Federal para determinar que práticas desportivas que utilizem animais não são consideradas cruéis, nas condições que especifica "", e apensada","PEC 304/17 - RODEIOS E VAQUEJADAS","3","Comissão Especial"
"537953","https://dadosabertos.camara.leg.br/api/v2/orgaos/537953","CEXFISC","Comissão Externa, sem ônus para a Câmara dos Deputados, destinada a acompanhar a crise fiscal instalada no Estado do Rio de Janeiro","CRISE FISCAL NO ESTADO DO RIO DE JANEIRO","5","Comissão Externa"
"537954","https://dadosabertos.camara.leg.br/api/v2/orgaos/537954","CEECON","Comissão Especial do Marco Regulatório da Economia Colaborativa","CESP - MARCO REGULATÓRIO DA ECONOMIA COLABORATIVA","3","Comissão Especial"
"537955","https://dadosabertos.camara.leg.br/api/v2/orgaos/537955","CEXDROG","Comissão Externa destinada a avaliar a situação de consumo de drogas entre os jovens no Brasil e propor medidas para o seu enfrentamento","CONSUMO DE DROGAS ENTRE OS JOVENS NO BRASIL","5","Comissão Externa"
"537963","https://dadosabertos.camara.leg.br/api/v2/orgaos/537963","CEXAGENT","Comissão Externa destinada a avaliar o crescente número de agentes de Segurança Pública mortos em serviço","AGENTES DE SEGURANÇA PÚBLICA MORTOS EM SERVIÇO","5","Comissão Externa"
"537964","https://dadosabertos.camara.leg.br/api/v2/orgaos/537964","CEXENER","Comissão Externa com a finalidade de conhecer o Projeto da Associação e Cooperativa de Energia Renováveis, RevoluSolar, no morro da Babilônia, Rio de Janeiro (RJ)","PROJETO REVOLUSOLAR DE ENERGIA RENOVÁVEL (RJ)","5","Comissão Externa"
"537967","https://dadosabertos.camara.leg.br/api/v2/orgaos/537967","CEXAUXRJ","Comissão Externa destinada a acompanhar ""in loco"" as medidas de prevenção de desastres e auxílio às vítimas de enchentes, adotadas pelo Estado do Rio de Janeiro.","PREVENÇÃO DE DESASTRES E AUXÍLIO ÀS VÍTIMAS NO RJ","5","Comissão Externa"
"537972","https://dadosabertos.camara.leg.br/api/v2/orgaos/537972","CEXHIDCE","Comissão Externa com a finalidade de acompanhar a situação hídrica dos Municípios do Estado do Ceará, com foco nas obras emergenciais e estruturantes","SITUAÇÃO HÍDRICA DOS MUNICÍPIOS DO ESTADO DO CEARÁ","5","Comissão Externa"
"537974","https://dadosabertos.camara.leg.br/api/v2/orgaos/537974","PL662116","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6621, de 2016, do Senado Federal, que ""dispõe sobre a gestão, a organização, o processo decisório e o controle social das agências reguladoras, altera a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 9.472, de 16 de julho de 1997, a Lei nº 9.478, de 6 de agosto de 1997, a Lei nº 9.782, de 26 de janeiro de 1999, a Lei nº 9.961, de 28 de janeiro de 2000, a Lei nº 9.984, de 17 de julho de 2000, a Lei nº 9.986, de 18 de julho de 2000, a Lei nº 10.233, de 5 de junho de 2001, a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, a Lei nº 11.182, de 27 de setembro de 2005, e a Lei nº 10.180, de 6 de fevereiro de 2001, e dá outras providências""","PL 6621/16 - AGÊNCIAS REGULADORAS","3","Comissão Especial"
"537976","https://dadosabertos.camara.leg.br/api/v2/orgaos/537976","PLP22198","Comissão Especial destinada a proferir parecer ao Projeto de Lei Complementar nº 221, de 1998, do Sr. Germano Rigotto, que ""dá nova redação ao inciso VIII do artigo 3º da Lei Complementar nº 87 de 1996 e insere o § 7º ao artigo 20 e o § 9º ao artigo 21 da mesma Lei Complementar"" (altera a Lei Kandir), e apensados","PLP 221/98 - ALTERA A LEI KANDIR","3","Comissão Especial"
"537977","https://dadosabertos.camara.leg.br/api/v2/orgaos/537977","PEC28716","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 287-A, de 2016, do Poder Executivo, que ""altera os arts. 37, 40, 42, 149, 167, 195, 201 e 203 da Constituição, para dispor sobre a seguridade social, estabelece regras de transição e dá outras providências""","PEC 287/16 - REFORMA DA PREVIDÊNCIA","3","Comissão Especial"
"537991","https://dadosabertos.camara.leg.br/api/v2/orgaos/537991","PL678716","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6787, de 2016, do Poder Executivo, que ""altera o Decreto-Lei nº 5.452, de 1º de maio de 1943 - Consolidação das Leis do Trabalho, e a Lei nº 6.019, de 3 de janeiro de 1974, para dispor sobre eleições de representantes dos trabalhadores no local de trabalho e sobre trabalho temporário, e dá outras providências""","PL 6787/16 - REFORMA TRABALHISTA","3","Comissão Especial"
"537995","https://dadosabertos.camara.leg.br/api/v2/orgaos/537995","CEXDESAP","Comissão Externa destinada a acompanhar os trabalhos de investigação do desaparecimento de dezenove brasileiros, durante a travessia das Bahamas, para entrar nos Estados Unidos","DESAPARECIMENTO DEZENOVE BRASILEIROS NAS BAHAMAS","5","Comissão Externa"
"537996","https://dadosabertos.camara.leg.br/api/v2/orgaos/537996","PL129295","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1292, de 1995, do Senado Federal, que ""altera a lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências"", e apensados","PL 1292/95 - LICITAÇÕES","3","Comissão Especial"
"537998","https://dadosabertos.camara.leg.br/api/v2/orgaos/537998","CEPENITE","Comissão Especial destinada a propor medidas para a modernização e reestruturação do Sistema Penitenciário","CESP - SISTEMA PENITENCIÁRIO","3","Comissão Especial"
"538000","https://dadosabertos.camara.leg.br/api/v2/orgaos/538000","CMPLF","Comissão mista destinada à consolidação da legislação federal, à regulamentação dos dispositivos da Constituição Federal, a modernização e o fortalecimento econômico e social do País.","REGULAMENTAÇÃO/CONSOLIDAÇÃO DA LEGISLAÇÃO FEDERAL","6","Comissão Mista Permanente"
"538002","https://dadosabertos.camara.leg.br/api/v2/orgaos/538002","PEC28216","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 282-A, de 2016, do Senado Federal, que ""altera a Constituição Federal para vedar as coligações nas eleições proporcionais, disciplinar a autonomia dos partidos políticos e estabelecer normas sobre fidelidade partidária e funcionamento parlamentar dos partidos políticos; e estabelece normas de transição"", e apensadas","PEC 282/16 - VEDA COLIGAÇÃO PARTIDÁRIA EM ELEIÇÕES","3","Comissão Especial"
"538008","https://dadosabertos.camara.leg.br/api/v2/orgaos/538008","PEC07703","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 77-A, de 2003, do Sr. Marcelo Castro e outros, que ""suprime o § 5º do art. 14 e dá nova redação ao § 1º do art. 27, ao caput do art. 28, ao inciso I do art. 29, ao parágrafo único do art. 44, aos §§ 1º e 2º do art. 46 e ao caput do art. 82, para pôr fim à reeleição majoritária, determinar a simultaneidade das eleições e a duração de cinco anos dos mandatos para os cargos eletivos, nos níveis federal, estadual e municipal, nos Poderes Executivo e Legislativo"" (fixa em cinco anos o mandato dos Deputados, Vereadores, Prefeitos, Vice-Prefeitos, Governadores, Presidente da República, e em dez anos para Senadores, objetiva a coincidência das eleições)","PEC 077/03 - TEMPO E COINCIDÊNCIA DE MANDATOS","3","Comissão Especial"
"538012","https://dadosabertos.camara.leg.br/api/v2/orgaos/538012","PLP42014","Comissão Especial destinada a proferir parecer ao Projeto de Lei Complementar nº 420, de 2014, do Sr. Pedro Eugênio, que ""altera a Lei Complementar nº 123 de 14 de dezembro de 2006, de forma garantir o crédito correspondente da substituição tributária que grave o Microempreendedor Individual - MEI ou o contribuinte optante do Simples Nacional"", e apensados","PLP 420/14 - TRIBUTAÇÃO MICRO E PEQUENAS EMPRESAS","3","Comissão Especial"
"538013","https://dadosabertos.camara.leg.br/api/v2/orgaos/538013","CEXPRAI","Comissão Externa destinada a acompanhar os desdobramentos sobre a desocupação da orla da Praia do Futuro, em Fortaleza, Estado do Ceará","DESOCUPAÇÃO DA ORLA DA PRAIA DO FUTURO / CE","5","Comissão Externa"
"538017","https://dadosabertos.camara.leg.br/api/v2/orgaos/538017","CEXDNIT","Comissão Externa destinada a fazer levantamento in loco bem como acompanhar e fiscalizar os fatos relativos à retomada pelo Departamento Nacional de Infraestrutura de Transportes - Dnit da responsabilidade pela execução da obra viária do Contorno do Mestre Álvaro, na Serra, Grande Vitória, ES.","OBRA VIÁRIA DO CONTORNO DO MESTRE ÁLVARO / ES","5","Comissão Externa"
"538020","https://dadosabertos.camara.leg.br/api/v2/orgaos/538020","PEC30617","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 306-A, de 2017, do Sr. Hildo Rocha e outros, que ""altera a redação do § 3º do art. 12 da Constituição Federal de 1988, para inserir no rol de cargos privativos de brasileiros natos o de Senador da República, de Governador e Vice-Governador e de Ministro das Relações Exteriores""","PEC 306/17 - SENADOR/GOVERNADOR BRASILEIRO NATO","3","Comissão Especial"
"538022","https://dadosabertos.camara.leg.br/api/v2/orgaos/538022","SUBENDEM","Subcomissão especial destinada a analisar a incidência e as políticas públicas de enfrentamento das doença endêmicas no Brasil","CSSF-SUBCOMISSÃO ENFRENTAMENTO DOENÇAS ENDÊMICAS","25","Subcomissão"
"538023","https://dadosabertos.camara.leg.br/api/v2/orgaos/538023","SUBVULNE","Subcomissão especial destinada a avaliar e acompanhar as políticas de assistência social e saúde das populações vulneráveis do País","CSSF-SUBCOMISSÃO ASSISTÊNCIA POPULAÇÃO VULNERÁVEL","25","Subcomissão"
"538028","https://dadosabertos.camara.leg.br/api/v2/orgaos/538028","SUBBNCC","Subcomissão Permanente Destinada a Acompanhar a Consolidação do Texto da Base Nacional Comum Curricular (BNCC) e a Reformulação do Ensino Médio no País","CE-SUBCOMISSÃO PERM. BNCC E REFORM. ENSINO MÉDIO","25","Subcomissão"
"538029","https://dadosabertos.camara.leg.br/api/v2/orgaos/538029","SUBCAMPI","Subcomissão Especial para Tratar da Situação dos Câmpus Fora das Sedes das Universidades Federais e dos Institutos Federais","CE-SUBCOMISSÃO CAMPUS FORA SEDES UNIVERSITÁRIAS","25","Subcomissão"
"538030","https://dadosabertos.camara.leg.br/api/v2/orgaos/538030","SUBFIES","Subcomissão Especial de Apuração e Análise das Informações sobre a Inadimplência no Fundo de Financiamento Estudantil (FIES) e Monitoramento dos Programas FIES, PROUNI e PROIES","CE-SUBCOMISSÃO INADIMPLÊNCIA FINANC. ESTUDANTIL","25","Subcomissão"
"538031","https://dadosabertos.camara.leg.br/api/v2/orgaos/538031","SUBINFAN","Subcomissão Permanente para Acompanhar as Políticas Públicas Relacionadas à Primeira Infância na Área Educacional","CE-SUBCOMISSÃO PERM. POL. PÚB. PRIMEIRA INFÂNCIA","25","Subcomissão"
"538034","https://dadosabertos.camara.leg.br/api/v2/orgaos/538034","PARLA17","Comissão Executiva encarregada da realização da XIV Sessão do Parlamento Jovem Brasileiro.","PARLAMENTO JOVEM BRASILEIRO","3","Comissão Especial"
"538035","https://dadosabertos.camara.leg.br/api/v2/orgaos/538035","PL760617","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7606, de 2017, do Senado Federal que ""cria o Programa de Financiamento Preferencial às Instituições Filantrópicas e Sem Fins Lucrativos (Pró-Santas Casas) para atender instituições filantrópicas e sem fins lucrativos que participam de forma complementar do Sistema Único de Saúde (SUS)"", e apensados","PL 7606/17 - LINHAS DE CRÉDITO ÀS SANTAS CASAS","3","Comissão Especial"
"538036","https://dadosabertos.camara.leg.br/api/v2/orgaos/538036","CEXHIDMG","Comissão Externa destinada a acompanhar a situação hídrica dos municípios no Estado de Minas Gerais","SITUAÇÃO HÍDRICA DOS MUNICÍPIOS DE MINAS GERAIS","5","Comissão Externa"
"538038","https://dadosabertos.camara.leg.br/api/v2/orgaos/538038","CEXCHUV","Comissão Externa, com ônus para a Câmara dos Deputados, destinada a acompanhar in loco a situação das comunidades afetadas pelas chuvas e temporais em Alagoas e Pernambuco","CHUVAS EM ALAGOAS E PERNAMBUCO","5","Comissão Externa"
"538039","https://dadosabertos.camara.leg.br/api/v2/orgaos/538039","CEXRURAL","Comissão Externa destinada a apurar a chacina que vitimou dez trabalhadores rurais no município de Pau D'Arco, no Estado do Pará","CHACINA DE TRABALHADORES RURAIS NO ESTADO DO PARÁ","5","Comissão Externa"
"538048","https://dadosabertos.camara.leg.br/api/v2/orgaos/538048","CEXHOSPI","Comissão Externa, sem ônus para a Câmara dos Deputados, destinada a acompanhar a situação das emergências dos hospitais federais no Rio de Janeiro","SITUAÇÃO DAS EMERGÊNCIAS DOS HOSPITAIS FEDERAIS/RJ","5","Comissão Externa"
"538050","https://dadosabertos.camara.leg.br/api/v2/orgaos/538050","REP-0717","Eleição da Comissão Representativa do Congresso Nacional prevista no § 4º do art. 58 da Constituição Federal (período de 18 a 31 de julho de 2017)","COMISSÃO REPRESENTATIVA DO CONGRESSO NACIONAL","8","Comissão Representativa do CN"
"538051","https://dadosabertos.camara.leg.br/api/v2/orgaos/538051","CEINDEP","Comissão Especial Curadora destinada a elaborar e viabilizar a execução das comemorações em torno do tema “A Câmara dos Deputados e os 200 anos da Independência do Brasil”","CESP COMEMORAÇÕES DOS 200 ANOS DA INDEPENDÊNCIA","3","Comissão Especial"
"538052","https://dadosabertos.camara.leg.br/api/v2/orgaos/538052","PL313915","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 3139, de 2015, do Sr. Lucas Vergilio, que ""altera a redação do caput do art. 24, acrescido dos §§ 1º, 2º, 3º, 4º e 5º, e modifica o art. 36, mediante a inserção da alínea ""m"", ambos do Decreto-Lei nº 73, de 21 de novembro de 1966"" (dispõe sobre o Sistema Nacional de Seguros Privados, regula as operações de seguros e resseguros)","PL 3139/15 - SEGUROS PRIVADOS","3","Comissão Especial"
"538054","https://dadosabertos.camara.leg.br/api/v2/orgaos/538054","PEC30217","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 302-A, de 2017, do Sr. Moses Rodrigues e outros, que ""altera o § 1º do art. 31 e o art. 75 da Constituição Federal para estabelecer os Tribunais de Contas como órgãos permanentes e essenciais ao controle externo da administração pública""","PEC 302/17 - VEDA EXTINÇÃO DE TRIBUNAIS DE CONTAS","3","Comissão Especial"
"538067","https://dadosabertos.camara.leg.br/api/v2/orgaos/538067","PL672616","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6726, de 2016, do Senado Federal, que ""regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal""","PL 6726/16 - TETO REMUNERATÓRIO","3","Comissão Especial"
"538072","https://dadosabertos.camara.leg.br/api/v2/orgaos/538072","CEXCONVE","Comissão Externa destinada a acompanhar a execução orçamentária proveniente dos convênios do Ministério das Cidades nas áreas de habitação, contenção de encostas e saneamento e dos recursos do Ministério do Desenvolvimento Social a serem liberados pelo Programa Nacional de Segurança na área de Assistência Social com o Estado do Rio de Janeiro","EXECUÇÃO ORÇAMENTÁRIA PROVENIENTE DE CONVÊNIOS","5","Comissão Externa"
"538077","https://dadosabertos.camara.leg.br/api/v2/orgaos/538077","CPMIJBS","Investigar, no prazo de até 120 dias, prorrogável por sessenta dias, irregularidades envolvendo a empresa JBS em operações realizadas com o BNDES,ocorridas entre os anos de 2007 e 2016","CPMI - JBS","20","Comissão Parlamentar Mista de Inquérito"
"538083","https://dadosabertos.camara.leg.br/api/v2/orgaos/538083","PL845617","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 8456, de 2017, do Poder Executivo, que ""altera a Lei nº 12.546, de 14 de dezembro de 2011, quanto à contribuição previdenciária sobre a receita bruta, a Lei nº 8.212, de 24 de julho de 1991, a Lei nº 8.218, de 29 de agosto de 1991, a Lei nº 9.430, de 27 de dezembro de 1996, a Lei nº 10.833, de 29 de dezembro de 2003, e a Lei nº 11.457, de 16 de março de 2007""","PL 8456/17 - ALTERA A CARGA TRIBUTÁRIA","3","Comissão Especial"
"538096","https://dadosabertos.camara.leg.br/api/v2/orgaos/538096","CEXBETIM","Comissão Externa, sem ônus para a Câmara dos Deputados, destinada a verificar a execução das obras e avaliar aplicação dos recursos objeto da cobrança de suposta dívida da Construtora Andrade Gutierrez em desfavor do Município de Betim-MG","COBRANÇA PELA ANDRADE GUTIERREZ EM DESFAVOR BETIM","5","Comissão Externa"
"538106","https://dadosabertos.camara.leg.br/api/v2/orgaos/538106","CEJURIST","Comissão de Juristas responsável pela elaboração de anteprojeto de legislação de medidas investigativas, processuais e de regime de cumprimento de pena em relação a criminalidade organizada relacionada ao tráfico de drogas e armas","COMISSÃO DE JURISTAS - COMBATE AO CRIME ORGANIZADO","10","Grupo de Trabalho"
"538107","https://dadosabertos.camara.leg.br/api/v2/orgaos/538107","GTCONST","Grupo de Trabalho para promoção de ações destinadas a dar maior efetividade aos preceitos da Constituição Federal","GRUPO DE TRABALHO PRECEITOS CONSTITUIÇÃO FEDERAL","10","Grupo de Trabalho"
"538135","https://dadosabertos.camara.leg.br/api/v2/orgaos/538135","PEC33317","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 333-A, de 2017, do Senado Federal, que ""altera os arts. 5º, 37, 96, 102, 105, 108 e 125 da Constituição Federal para extinguir o foro especial por prerrogativa de função no caso dos crimes comuns, e revoga o inciso X do art. 29 e o § 1º do art. 53 da Constituição Federal"", e apensadas","PEC 333/17 - EXTINGUIR O FORO ESPECIAL","3","Comissão Especial"
"538146","https://dadosabertos.camara.leg.br/api/v2/orgaos/538146","CEXAGRIC","Comissão Externa destinada a verificar as causas do endividamento do setor agrícola, o elevado custo dos seus financiamentos, a bitributação previdenciária incidente sobre a folha de pagamento dos funcionários e as condições de importação de alimentos","ENDIVIDAMENTO DO SETOR AGRÍCOLA","5","Comissão Externa"
"538147","https://dadosabertos.camara.leg.br/api/v2/orgaos/538147","PL946318","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 9463, de 2018, do Poder Executivo, que ""dispõe sobre a desestatização das Centrais Elétricas Brasileiras S.A. - Eletrobras e altera a Lei nº 10.438, de 26 de abril de 2002, a Lei nº 9.991, de 24 de julho de 2000, e a Lei nº 5.899, de 5 de julho de 1973"" (revoga dispositivo da Lei nº 3.890-A, de 1961 e da Lei nº 10.848, de 2004)","PL 9463/18 - DESESTATIZAÇÃO DA ELETROBRAS","3","Comissão Especial"
"538153","https://dadosabertos.camara.leg.br/api/v2/orgaos/538153","CEXRR","Comissão Externa destinada a acompanhar o fluxo crescente de imigrantes venezuelanos que vem ocorrendo no estado de Roraima.","COMISSÃO EXTERNA CRISE VENEZUELA","5","Comissão Externa"
"538154","https://dadosabertos.camara.leg.br/api/v2/orgaos/538154","CEXPARA","Comissão externa destinada a averiguar possível rompimento das bacias de rejeitos de mineração no município de Barcarena - PA.","BACIAS DE REJEITOS DE MINERAÇÃO EM BARCARENA/PA","5","Comissão Externa"
"538156","https://dadosabertos.camara.leg.br/api/v2/orgaos/538156","CEXAGUAS","Comissão Externa destinada a acompanhar os trabalhos do Fórum Mundial da Água e do Fórum Alternativo Mundial da Água.","CEX - FÓRUM MUNDIAL DA ÁGUA","5","Comissão Externa"
"538157","https://dadosabertos.camara.leg.br/api/v2/orgaos/538157","GTTRIBUT","Grupo de Trabalho para avaliar e propor mudanças no modelo brasileiro de tributação da renda corporativa","TRIBUTAÇÃO DA RENDA CORPORATIVA","10","Grupo de Trabalho"
"538158","https://dadosabertos.camara.leg.br/api/v2/orgaos/538158","GTDEBEN","Grupo de Trabalho destinado a analisar a situação atual do mercado de debêntures no Brasil e propor estratégias para torná-lo acessível a todos os segmentos do mercado, independentemente do porte da empresa emissora dos títulos","MERCADO DE DEBÊNTURES NO BRASIL","10","Grupo de Trabalho"
"538159","https://dadosabertos.camara.leg.br/api/v2/orgaos/538159","CEJURIMP","Comissão de Juristas responsável pela elaboração de anteprojeto de reforma da Lei de Improbidade Administrativa (Lei n. 8.429, de 2 de junho de 1992)","COMISSÃO DE JURISTAS - IMPROBIDADE ADMINISTRATIVA","10","Grupo de Trabalho"
"538160","https://dadosabertos.camara.leg.br/api/v2/orgaos/538160","CEJURGOV","Comissão de Juristas incumbida de elaborar propostas de aperfeiçoamento da gestão governamental e do sistema de controle da Administração Pública","COMISSÃO DE JURISTAS - GESTÃO GOVERNAMENTAL (TCU)","10","Grupo de Trabalho"
"538161","https://dadosabertos.camara.leg.br/api/v2/orgaos/538161","CEXINTER","Comissão Externa destinada a acompanhar o planejamento, a execução e os desdobramentos da intervenção federal na segurança pública do Estado do Rio de Janeiro","INTERVENÇÃO NA SEGURANÇA PÚBLICA DO RIO DE JANEIRO","5","Comissão Externa"
"538162","https://dadosabertos.camara.leg.br/api/v2/orgaos/538162","PL191715","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1917, de 2015, do Sr. Marcelo Squassoni e outros, que ""dispõe sobre a portabilidade da conta de luz, as concessões de geração de energia elétrica e a comercialização de energia elétrica, altera as Leis n. 12.783, de 11 de janeiro de 2013, 10.848, de 15 de março de 2004, 10.847, de 15 de março de 2004, 9.648, de 27 de maio de 1998, 9.478, de 6 de agosto de 1997, 9.427, de 26 de dezembro de 1996, a Medida Provisória n. 2.227, de 4 de setembro de 2001, e dá outras providências""","PL 1917/15 - PORTABILIDADE DA CONTA DE LUZ","3","Comissão Especial"
"538166","https://dadosabertos.camara.leg.br/api/v2/orgaos/538166","GTSEGUR","Grupo de Trabalho destinado a receber propostas de parlamentares sobre segurança pública","GRUPO DE TRABALHO DA SEGURANÇA PÚBLICA","10","Grupo de Trabalho"
"538168","https://dadosabertos.camara.leg.br/api/v2/orgaos/538168","CEXVERIO","Comissão Externa destinada a acompanhar, no Rio de Janeiro, as investigações referentes aos assassinatos da Vereadora Marielle Franco e do Sr. Anderson Pedro Gomes","ASSASSINATO MARIELLE FRANCO E ANDERSON PEDRO GOMES","5","Comissão Externa"
"538175","https://dadosabertos.camara.leg.br/api/v2/orgaos/538175","CEXLULA","Comissão Externa destinada a verificar in loco as condições em que se encontra o Ex-Presidente da República Luiz Inácio Lula da Silva na superintendência da Polícia Federal em Curitiba-PR","VERIFICAR CONDIÇÕES DO EX-PRESIDENTE LULA NA PF-PR","5","Comissão Externa"
"538176","https://dadosabertos.camara.leg.br/api/v2/orgaos/538176","CEXFUND","Comissão Externa destinada a realizar o acompanhamento do procedimento de apuração, liberação e aplicação dos recursos referentes às parcelas calculadas de forma equivocada pelo Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (FUNDEB) nos municípios brasileiros.","FUNDEB","5","Comissão Externa"
"538177","https://dadosabertos.camara.leg.br/api/v2/orgaos/538177","CEXEMBA","Comissão Externa destinada a acompanhar a implementação do embargo definitivo a ser imposto pela União Europeia à importação de carne de frango da BRF e de outras empresas, incluindo a verificação a respeito dos efeitos da medida na cadeia produtiva do frango (economia, produtores integrados, funcionários da BRF).","EMBARGO DA UNIÃO EUROPEIA À CARNE DE FRANGO DA BRF","5","Comissão Externa"
"538178","https://dadosabertos.camara.leg.br/api/v2/orgaos/538178","CEESTUDO","Institui Comissão de Estudos da Legislação Social Brasileira, responsável pela elaboração de uma proposta de consolidação do marco regulatório dos direitos sociais no Brasil e definição brasileira para a pobreza.","ESTUDO DA LEGISLAÇÃO SOCIAL BRASILEIRA","10","Grupo de Trabalho"
"538185","https://dadosabertos.camara.leg.br/api/v2/orgaos/538185","CEXHVITA","Comissão Externa destinada a fazer o acompanhamento ""in loco"" das tratativas relacionadas ao Hospital Vita, na cidade de Volta Redonda, no Estado do Rio de Janeiro","HOSPITAL VITA EM VOLTA REDONDA/RJ","5","Comissão Externa"
"538186","https://dadosabertos.camara.leg.br/api/v2/orgaos/538186","SUBIDOSO","Subcomissão Especial para reformular e atualizar o Estatuto do Idoso (Lei 10.741 de 1º de Outubro de 2003) e a Política Nacional do Idoso.","CIDOSO-SUBCOMISSÃO ESPECIAL ESTATUTO DO IDOSO","25","Subcomissão"
"538201","https://dadosabertos.camara.leg.br/api/v2/orgaos/538201","SUBCORR","Subcomissão Especial para Planejar Ações de Prevenção e Combate à Corrupção","CORRUPÇÃO","25","Subcomissão"
