b'uri',b'nome',b'codTipo',b'tipo',b'idProposicao'
https://dadosabertos.camara.leg.br/api/v2/deputados/178830,Dr. Sinval Malheiros,10000,Deputado,2151535
https://dadosabertos.camara.leg.br/api/v2/deputados/178830,Dr. Sinval Malheiros,10000,Deputado,2151536
https://dadosabertos.camara.leg.br/api/v2/deputados/178830,Dr. Sinval Malheiros,10000,Deputado,2151537
https://dadosabertos.camara.leg.br/api/v2/deputados/178830,Dr. Sinval Malheiros,10000,Deputado,2151539
https://dadosabertos.camara.leg.br/api/v2/deputados/178830,Dr. Sinval Malheiros,10000,Deputado,2151540
https://dadosabertos.camara.leg.br/api/v2/deputados/160643,Dr. Jorge Silva,10000,Deputado,2151542
https://dadosabertos.camara.leg.br/api/v2/deputados/160640,Eros Biondini,10000,Deputado,2151548
https://dadosabertos.camara.leg.br/api/v2/deputados/69871,Bacelar,10000,Deputado,2151549
https://dadosabertos.camara.leg.br/api/v2/deputados/179000,Marcelo Álvaro Antônio,10000,Deputado,2151552
https://dadosabertos.camara.leg.br/api/v2/deputados/159238,Marcus Pestana,10000,Deputado,2151554
https://dadosabertos.camara.leg.br/api/v2/deputados/160633,Mandetta,10000,Deputado,2151557
https://dadosabertos.camara.leg.br/api/v2/deputados/160572,Jorge Côrte Real,10000,Deputado,2151558
https://dadosabertos.camara.leg.br/api/v2/deputados/160572,Jorge Côrte Real,10000,Deputado,2151559
https://dadosabertos.camara.leg.br/api/v2/deputados/160572,Jorge Côrte Real,10000,Deputado,2151560
https://dadosabertos.camara.leg.br/api/v2/deputados/160572,Jorge Côrte Real,10000,Deputado,2151561
https://dadosabertos.camara.leg.br/api/v2/deputados/74057,Alice Portugal,10000,Deputado,2151563
https://dadosabertos.camara.leg.br/api/v2/deputados/141401,Carlos Bezerra,10000,Deputado,2151566
https://dadosabertos.camara.leg.br/api/v2/deputados/148134,Professor Victório Galli,10000,Deputado,2151571
https://dadosabertos.camara.leg.br/api/v2/deputados/164360,Carmen Zanotto,10000,Deputado,2151575
https://dadosabertos.camara.leg.br/api/v2/deputados/160632,Zé Silva,10000,Deputado,2151577
https://dadosabertos.camara.leg.br/api/v2/deputados/178887,Rubens Pereira Júnior,10000,Deputado,2151578
https://dadosabertos.camara.leg.br/api/v2/deputados/178887,Rubens Pereira Júnior,10000,Deputado,2151580
https://dadosabertos.camara.leg.br/api/v2/deputados/178887,Rubens Pereira Júnior,10000,Deputado,2151581
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151583
https://dadosabertos.camara.leg.br/api/v2/deputados/141422,Efraim Filho,10000,Deputado,2151584
https://dadosabertos.camara.leg.br/api/v2/deputados/159238,Marcus Pestana,10000,Deputado,2151590
https://dadosabertos.camara.leg.br/api/v2/deputados/141454,Alfredo Kaefer,10000,Deputado,2151595
https://dadosabertos.camara.leg.br/api/v2/deputados/73441,Celso Russomanno,10000,Deputado,2151597
https://dadosabertos.camara.leg.br/api/v2/deputados/160622,Vicente Candido,10000,Deputado,2151598
https://dadosabertos.camara.leg.br/api/v2/deputados/73434,Arnaldo Faria de Sá,10000,Deputado,2151612
https://dadosabertos.camara.leg.br/api/v2/deputados/74158,Mário Heringer,10000,Deputado,2151615
https://dadosabertos.camara.leg.br/api/v2/deputados/74158,Mário Heringer,10000,Deputado,2151616
https://dadosabertos.camara.leg.br/api/v2/deputados/74158,Mário Heringer,10000,Deputado,2151624
https://dadosabertos.camara.leg.br/api/v2/deputados/178875,Alexandre Baldy,10000,Deputado,2151628
https://dadosabertos.camara.leg.br/api/v2/deputados/160512,Aureo,10000,Deputado,2151639
https://dadosabertos.camara.leg.br/api/v2/deputados/178916,Daniel Coelho,10000,Deputado,2151661
https://dadosabertos.camara.leg.br/api/v2/deputados/178936,Alexandre Valle,10000,Deputado,2151662
https://dadosabertos.camara.leg.br/api/v2/deputados/141527,Renato Molling,10000,Deputado,2151663
https://dadosabertos.camara.leg.br/api/v2/deputados/146949,Rosinha da Adefal,10000,Deputado,2151665
https://dadosabertos.camara.leg.br/api/v2/deputados/74585,Lincoln Portela,10000,Deputado,2151667
https://dadosabertos.camara.leg.br/api/v2/deputados/146949,Rosinha da Adefal,10000,Deputado,2151668
https://dadosabertos.camara.leg.br/api/v2/deputados/141527,Renato Molling,10000,Deputado,2151669
